body,title,url
"El Aeropuerto Internacional de la Ciudad de México (AICM) informó mediante sus redes socales que, debido a las condiciones metereológicas, algunos vuelos fueron redirigidos hacia aeropuertos alternos. ","Por condiciones climáticas, AICM redirige vuelos a aeropuertos alternos",https://www.eluniversal.com.mx/metropoli/por-condiciones-climaticas-aicm-redirige-vuelos-aeropuertos-alternos
"Tecámac .- Dos elementos de la Secretaría de Seguridad del Estado de México que participaban en la persecución de una unidad con reporte de robo sobre la autopista México-Pachuca, fueron baleados; uno de ellos murió y el otro resultó herido.",Robo de camioneta deja un policía muerto y otro herido en Tecámac,https://www.eluniversal.com.mx/metropoli/robo-de-camioneta-deja-un-policia-muerto-y-otro-herido-en-tecamac
"
Desde hace más de 100 años se encuentra en Francia un objeto que había sido denominado como “penacho de Cuauhtémoc”, pues fue descrito como un “objeto que le perteneció al último Emperador de México, Cuauhtemoctzin”. Sin embargo, en 2018 especialistas de México y Francia emprendieron una investigación y ahora, casi tres años después, pudieron determinar que no es un penacho y que tampoco perteneció a algún soberano mexica, aunque falta determinar “si se trata de un objeto o del componente de un objeto”, y los resultados de otros estudios.","¿Qué es auténtico y qué es falso en el ""penacho de Cuauhtémoc"" que tiene Francia? ",https://www.eluniversal.com.mx/cultura/que-es-autentico-y-que-es-falso-en-el-penacho-de-cuauhtemoc-que-tiene-francia
"El presidente Andrés Manuel López Obrador consideró como “un error” y un “penoso asunto” el incidente donde el gobernador de Michoacán, Silvano Aureoles encara y empuja a un ciudadano en Aguililla, entidad azotada por los grupos criminales. ","Fue un ""penoso"" incidente, dice AMLO de empujón que dio Aureoles a ciudadano ",https://www.eluniversal.com.mx/nacion/fue-un-penoso-incidente-dice-amlo-de-empujon-que-dio-aureoles-ciudadano
"
Roberto Sosa Pichardo, candidato del PAN a la presidencia municipal de Corregidora, intentó recrear el video viral de Nathan Apodaca, popular en TikTok como @420doggface208.","Con patineta y suero, Roberto Sosa recrea video viral",https://www.eluniversalqueretaro.mx/nuestras-historias/con-patineta-y-suero-roberto-sosa-recrea-video-viral
"El día de ayer se dio a conocer que el grupo parlamentario de Morena en la Cámara de Diputados presentó una iniciativa para imponer un impuesto a empresas extranjeras que comercialicen contenidos audiovisuales a través de internet, es decir a compañías como Netflix, Apple TV +, Disney +, Hulu y Roku. Esto a través de la modificación de la Ley del Impuestos Especial Sobre Producción y Servicios (IEPS). ",,https://www.eluniversal.com.mx/techbit/esto-costaran-netflix-apple-tv-y-disney-si-se-aprueba-el-nuevo-impuesto
"En la cuenta de Twitter de André-Pierre Gignac, jugador de Tigres, hizo una publicación en donde se queja de que su imagen ha sido utilizada con fines de propaganda política.",Gignac se queja del uso de su imagen en propaganda política,https://www.eluniversal.com.mx/universal-deportes/futbol/tigres-gignac-se-queja-del-uso-de-su-imagen-en-propaganda-politica
"Los polos del planeta son terrenos difíciles de conquistar. La nieve, bajas temperaturas y pocas formas de sobrevivir han hecho que las personas se alejen de dichos lugares durante varias décadas. ",La historia del gran vehículo explorador antártico que fue abandonado hace casi 100 años,https://www.eluniversal.com.mx/autopistas/la-historia-del-gran-vehiculo-explorador-antartico-que-fue-abandonado-hace-casi-100-anos
"¿A quién no le gusta ponerle variedad a las vacaciones con una actividad de aventura o que implique adrenalina? En México existen algunas atracciones que llevan la emoción al siguiente nivel y se vuelven un reto para más de un turista. Sin embargo, como recompensa puede haber paisajes espectaculares o anécdotas inolvidables para contar. ",Actividades extremas en México que ponen a temblar a los turistas,https://www.eluniversal.com.mx/destinos/actividades-extremas-en-mexico-que-te-ponen-temblar
"Las secretarías de Educación Pública y Salud, así como el Instituto Mexicano del Seguro Social (IMSS) definieron que los docentes de cinco entidades del país serán vacunados con la dosis del laboratorio CanSino. ",,https://www.eluniversal.com.mx/nacion/docentes-de-mexico-seran-inmunizados-con-vacuna-cansino
"
PA",Cinco mitos sobre el Titanic que persisten a más de un siglo de su hundimiento,https://www.eluniversal.com.mx/cultura/titanic-cinco-mitos-que-persisten-mas-de-un-siglo-del-hundimiento
"
Las cuevas perdidas de Mantetzulel se encuentran a ocho kilómetros de Aquismón, en San Luis Potosí, mismas que son un área natural protegida, considerada monumento nacional.",,https://sanluis.eluniversal.com.mx/municipios/14-04-2021/que-ver-y-hacer-en-las-cuevas-perdidas-de-mantetzulel-en-aquismon-san-luis
"La consola de última generación de Sony llegó al mercado con un mejor procesador y motor gráfico, tiempos de cargas mejores y la promesa de una ofrecer experiencias de juego únicas con títulos para todos los gustos. Pero siempre hay espacio para mejorar y, a partir de hoy, los dueños de una PS5 recibirán una actualización con varias novedades. ",PS5 recibe actualización y estas son todas las novedades ,https://www.eluniversal.com.mx/techbit/ps5-recibe-actualizacion-y-estas-son-todas-las-novedades
"Silvia Pinal rompió el silencio, luego de la acusación de Frida Sofía hacia su abuelo, Enrique Guzmán, de haberla tocado cuando ella tenía cinco años.",,https://www.eluniversal.com.mx/espectaculos/silvia-pinal-rompe-el-silencio-sobre-el-caso-frida-sofia
